"name","img","count"
"Биатлон","img/1.svg",169072 
"Бобслей","img/ski.svg",50692 
"Горнолыжный спорт","img/ski.svg",41152 
"Керлинг","img/2.svg",60574 
"Конькобежный спорт","img/ski.svg",92700 
"Лыжное двоеборье","img/ski.svg",12698 
"Лыжные гонки","img/2.svg",34720 
"Прыжки с трамплина","img/2.svg",19310 
"Санный спорт","img/2.svg",12738 
"Скелетон","img/3.svg",27284 
"Сноуборд","img/4.svg",92610 
"Фигурное катание","img/2.svg",234064 
"Фристайл","img/2.svg",84814 
"Хоккей","img/ski.svg",368048 
"Шорт-трек","img/3.svg",37772